,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
SJM,-0.029045643153526972,-0.11788617886178862,-0.1102803738317757,0.012048192771084338,-0.009940357852882704,-0.010309278350515464,-0.04046242774566474,-0.07635009310986965,0.19133574007220217,0.1736930860033727,0.012903225806451613,0.11556240369799692,-0.03714710252600297,0.018518518518518517,0.021834061135371178,-0.037900874635568516,-0.08902077151335312,-0.0634441087613293,-0.027190332326283987,0.026499302649930265,-0.07428571428571429,-0.187039764359352,0.11046511627906977,-0.09348441926345609,-0.09792284866468842,-0.09202453987730061,-0.13559322033898305,0.024817518248175182,0.04309063893016345,0.013452914798206279,0.07713498622589532,0.04046242774566474,-0.037900874635568516
SNA,-0.05660377358490566,-0.015197568389057751,-0.014005602240896359,-0.029411764705882353,0.005319148936170213,0.04156479217603912,0.08173076923076923,0.02727272727272727,0.11159737417943107,0.0635593220338983,0.01782178217821782,0.018947368421052633,-0.008,-0.0499001996007984,0.10986964618249534,0.04204753199268738,0.0718232044198895,0.019011406844106463,0.014336917562724014,-0.0055248618784530384,-0.04144144144144144,-0.2958257713248639,-0.07948243992606285,-0.10276679841897234,-0.0823045267489712,0.03292181069958848,-0.09818181818181818,-0.12355212355212356,-0.02074688796680498,0.07865168539325842,-0.018487394957983194,0.046511627906976744,0.08695652173913043
LNCE,0.12605042016806722,0.06086956521739131,0.03225806451612903,0.19708029197080293,-0.008,0.025210084033613446,0.216,0.22950819672131148,0.12857142857142856,0.30952380952380953,0.46153846153846156,0.054187192118226604,0.25773195876288657,0.0,0.035897435897435895,0.19069767441860466,-0.04081632653061224,0.004608294930875576,-1.0,-0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQM,-0.17575757575757575,-0.08,0.16981132075471697,-0.022222222222222223,0.02857142857142857,-0.0136986301369863,-0.19696969696969696,-0.1937984496124031,-0.3,-0.0297029702970297,-0.04854368932038835,0.07317073170731707,0.04477611940298507,0.014705882352941176,0.19767441860465115,0.15254237288135594,0.1650485436893204,0.10091743119266056,0.03669724770642202,0.004830917874396135,-0.10144927536231885,-0.016216216216216217,-0.058823529411764705,0.08571428571428572,0.025,0.13450292397660818,-0.11494252873563218,0.05128205128205128,0.055900621118012424,0.18446601941747573,0.017543859649122806,0.248868778280543,0.05555555555555555
SCKT,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,-0.09090909090909091,0.16666666666666666,-0.1111111111111111,-0.1111111111111111,0.42857142857142855,0.5384615384615384,-0.42857142857142855,0.0,-0.5555555555555556,-0.2,-0.42857142857142855,0.42857142857142855,-0.4,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.42857142857142855,0.06666666666666667,-0.2
SDX,0.0,0.3333333333333333,-0.6,0.3333333333333333,-0.6,-0.2,0.5,0.2,0.2,0.2,0.42857142857142855,0.3333333333333333,0.3333333333333333,-0.14285714285714285,-0.3333333333333333,0.0,0.2,-0.3333333333333333,-0.2,-0.42857142857142855,0.0,0.5,0.3333333333333333,0.0,-0.5,0.0,-1.0,0.0,1.0,1.0,1.0,-0.5,-0.3333333333333333
SOHU,0.1232876712328767,-0.2028985507246377,-0.008849557522123894,-0.11320754716981132,0.0425531914893617,-0.12643678160919541,-0.03296703296703297,0.25862068965517243,-0.06086956521739131,0.15517241379310345,-0.06086956521739131,0.047619047619047616,-0.09803921568627451,-0.02127659574468085,-0.10588235294117647,0.08235294117647059,0.16129032258064516,0.22123893805309736,0.1111111111111111,-0.9787234042553191,-0.1724137931034483,-0.13157894736842105,-0.16883116883116883,0.02702702702702703,0.0,0.25,-0.0379746835443038,0.04,-0.09090909090909091,0.05263157894736842,-0.25301204819277107,0.20481927710843373,-0.058823529411764705
SLRC,-0.06306306306306306,-0.04854368932038835,0.1262135922330097,0.140625,-0.06779661016949153,0.018518518518518517,-0.06,-0.0784313725490196,0.2079207920792079,0.0,-0.054945054945054944,0.09278350515463918,0.010526315789473684,0.19148936170212766,0.06,0.031578947368421054,0.10204081632653061,0.08163265306122448,-0.058823529411764705,0.01098901098901099,-0.03225806451612903,0.0,0.10891089108910891,0.10891089108910891,0.03225806451612903,0.27450980392156865,-0.042735042735042736,0.09278350515463918,-0.041666666666666664,-0.04,-0.07272727272727272,0.07547169811320754,0.0
SWI,-0.05829596412556054,-0.04716981132075472,-0.05102040816326531,-0.02512562814070352,0.0821256038647343,0.1206896551724138,0.11811023622047244,0.17446808510638298,0.04564315352697095,-0.1640625,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17894736842105263,0.4700854700854701,-0.017857142857142856,0.10476190476190476,-0.058823529411764705,0.3181818181818182,0.09375,0.13924050632911392,-0.02531645569620253,0.050359712230215826,-0.5657894736842105
SUNS,0.08333333333333333,-0.04,0.125,-0.16666666666666666,-0.11627906976744186,-0.02857142857142857,0.29411764705882354,-0.05555555555555555,0.2,-0.3125,0.16129032258064516,0.16666666666666666,0.4222222222222222,0.23404255319148937,0.16666666666666666,-0.0196078431372549,-0.2916666666666667,-0.17073170731707318,-0.5121951219512195,-0.3125,-0.0625,-0.23076923076923078,-0.02857142857142857,0.21212121212121213,-0.125,0.08571428571428572,0.1891891891891892,-0.08108108108108109,-0.0625,0.1794871794871795,0.36585365853658536,-0.18181818181818182,0.14285714285714285
SCTY,0.3277310924369748,0.30666666666666664,0.42857142857142855,0.38016528925619836,0.102880658436214,0.08786610878661087,0.13559322033898305,0.23404255319148937,0.029535864978902954,-0.06995884773662552,-0.004366812227074236,-0.016042780748663103,0.0,-0.9771428571428571,1.0,0.4,0.6666666666666666,0.2,0.0,0.0,-0.14285714285714285,-0.2,0.2,0.3333333333333333,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLH,0.05759162303664921,-0.030612244897959183,-0.005291005291005291,0.0273224043715847,0.07142857142857142,0.12380952380952381,0.06363636363636363,0.041474654377880185,0.09090909090909091,-0.11934156378600823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
