PERMNO,PERMCO,HTICK,HTSYMBOL,CUSIP
10431,8351,,SCFB,83701410
10432,8352,,ARIT,04045110
10433,7904,,BABY,31555610
10434,8353,,,50170810
10435,7888,,FFCA,14377010
10436,22191,,,03053710
10437,8354,,RAWC,76027910
10438,8355,,HFSF,43692510
10439,8356,,CELS,20260420
10440,8357,,WATFY,94139320
10441,8358,,XYVI,98418010
10442,8359,,KLLM,48249810
10443,8360,FRPH,FRPH,30292L10
10444,22192,,,03099090
10445,340,,,00204810
10446,8362,,,73090010
10447,8363,,THFI,72951310
10448,8364,,LGUM,52467210
10449,8365,,BKCT,05968410
10450,8366,,FMDC,32081G10
10451,8367,,FHPC,30242610
10452,22193,,,03099190
10453,9761,,BFEN,05538710
10454,8369,,GDEX,38059M10
10455,8370,,,03070P10
10456,8371,,CEMX,12516510
10457,9776,,BFSI,05540710
10458,8373,,SOSA,83506120
10459,8374,,GNMR,37230710
10460,20188,,,03110510
10461,8375,,DIBK,25432H10
10462,8376,,CGNE,12959810
10463,8377,REFR,REFR,76091110
10464,8378,,CCBK,20755210
10465,8379,,ACPT,00430910
10466,8380,,BIGI,11483110
10467,8381,,WRNB,93471010
10468,8383,,ACRLQ,02529510
10469,8382,,DYTM,26814510
10470,8384,,MOKG,61743410
10471,8388,,QBIO,74834010
10472,8389,,SHOE,82489010
10473,8390,,TIPT,88801610
10474,8391,,EORRQ,29201610
10475,8393,,RICH,76474010
10476,9782,,BMRG,05561010
10477,8395,,AVSS,05365010
10478,8396,,USAB,90329A10
10479,22194,,,03217210
10480,6509,,ATVSE,00209510
10481,8400,,SUBBA,86434620
10482,8402,,WRII,94090210
10483,8403,,ACGI,02491010
10484,8404,,WSTNA,96113710
10485,8405,,FAMB,31847010
10486,8406,,CBCT,15670210
10487,22195,,,03217710
10488,418,,ALGI,02728410
10489,8407,,ASBSQ,04341510
10490,8408,,GART,36664910
10491,8409,,FATV,31846P10
10492,8410,,SUHC,86607210
10493,8411,,NEOL,64090330
10494,8413,,SWCB,80021710
10495,22196,,,03239310
10496,422,,AWCSA,00244810
10497,8412,,TEXT,46115210
10498,8415,,GRBC,39153710
10499,8416,,NHIC,65379910
10500,9767,,BKMD,06349610
10501,8418,AMWD,AMWD,03050610
10502,8419,,AMMIE,04915510
10503,8420,,TRBK,89834810
10504,8421,,BPCQE,09890410
10505,8422,,JLUB,47741520
10506,8423,,IBIN,45810P10
10507,7340,,MDCI,58449L10
10508,22197,,,03559110
10509,8,,,00253010
10510,8425,,CBFC,12479510
10511,8428,,CURY,09792010
10512,8429,,IGNE,45169510
10513,8430,,LIPO,53631010
10514,8431,KSPN,KSPN,48583710
10515,8432,,FDGT,34386C10
10516,20207,ADM,ADM,03948310
10517,5674,PRG,PRG,74319R10
10518,8433,,PSWA,69483610
10519,8427,,IFEI,45291110
10520,8434,,BERS,08369810
10521,8426,,CAFE,55960310
10522,8435,,TRIA,89586210
10523,8436,,ALUR,02004410
10524,22198,,,04230310
10525,346,,,00253610
10526,8437,,SLHC,84454110
10527,8438,,MVII,57041410
10528,8439,,COMM,15090910
10529,8440,,CSEC,20233610
10530,8441,VIVO,VIVO,58958410
10531,8442,,MTLM,59109710
10532,22199,,,04257310
10533,22200,,,00289610
10534,8443,,FCBK,30425310
10535,8445,,FLWRQ,34039110
10536,8446,,EDCO,28088310
10537,8447,,SYNT,87162910
10538,8448,,READ,02713410
10539,8450,,LEXT,52976610
10540,22201,,,04299190
10541,349,,,00290410
10542,8452,,NESB,62891410
10543,8453,,CSELQ,14185910
10544,8454,,NCEL,63859510
10545,8457,,,88355910
10546,8456,,RSLA,76032610
10547,8458,CLFD,CLFD,18482P10
10548,8459,,NETW,64120610
10549,8460,,WHOAC,02567C10
10550,8461,PDEX,PDEX,74265M20
10551,8462,,GROV,39948110
10552,8463,,FSBK,33640810
10553,8464,,FSEB,32092410
10554,8465,,PNCHQ,72220410
10555,8466,,AMEI,02742510
10556,8467,,STAR,85568210
10557,8468,,GEOX,37247010
10558,8469,,WRPS,94705310
10559,22202,,,04557310
10560,20019,,ABY,00392410
10561,8163,,HTPI,40405530
10562,8470,,SOV,84590510
10563,8472,,HRZB,44041F10
10564,8473,,ADLAE,00684810
10565,8474,,CNBA,22240310
10566,8475,,HVFD,41941110
10567,22203,,,04599190
10568,5580,,SERV,81765M10
10569,8477,,CFCX,15146R10
10570,8478,,ATCMA,03018710
10571,8479,,EATS,27785110
10572,8480,,DEVN,25180110
10573,8481,,BOOK,92707720
10574,9674,,BNT,08265710
10575,22204,,,04675310
10576,41,,ACIG,00400910
10577,8484,,MDRXE,58438810
10578,8485,,ALTI,02136210
10579,8486,,TATM,87664910
10580,8488,,NFSF,62910410
10581,8489,,BNKW,06652210
10582,8490,,EASCE,26823F10
10583,22205,,,04799090
10584,30,,ACAD,00422010
10585,8165,,GMXC,36191110
10586,8492,,QUIP,74880210
10587,8471,,ICGI,45792810
10588,8493,,GSBI,38747210
10589,8494,,BEEP,76973110
10590,9671,,BIGT,08969610
10591,22206,,,04844790
10592,149,,ALAR,00429510
10593,8496,,TRSLC,89377810
10594,8497,,DME,25429Q10
10595,8498,,NYCQE,64944010
10596,8499,,PBNB,71230010
10597,8500,,FEP,35351510
10598,9802,,BNBC,11123910
10599,8502,,AXLNC,05461310
10600,9742,,BFLO,11954220
10601,8504,,CIST,17284910
10602,8505,,TLHT,89150F10
10603,8506,,FNBR,30290810
10604,20227,,,04882510
10605,43,,ACLE,00429910
10606,8508,WTS,WTS,94274910
10607,6508,,MCBKA,58853010
10608,8510,,,37017210
10609,8512,,SSLA,85517110
10610,8513,,MRBL,56605710
10611,8514,,,00472410
10612,22207,,,04899090
10613,22208,,,00430210
10614,8516,,FOOD,69280010
10615,8517,,VPLXE,92658B10
10616,8518,,NLBW,66649810
10617,8519,,CSBM,17865610
10618,8520,,MSOF,62542910
10619,8521,,MKOR,57990510
10620,22209,,,04923110
10621,34,,PCESE,69418810
10622,8522,,WTBK,95754710
10623,8523,,FRC,33615810
10624,8524,,,48222710
10625,9820,,KOSM,14728010
10626,8528,,LPEP,52129810
10627,8529,,TNTO,88768710
10628,8533,,,35905010
10629,8534,FNB,FNB,30252010
10630,8535,,CBNB,20084110
10631,8536,,CSAR,13135610
10632,8537,,SSBC,82300510
10633,8538,,SCOM,78403010
10634,8539,,SMTH,83205510
10635,8540,,EDIN,28084710
10636,8542,,QVCN,74726210
10637,8543,,VETX,92532210
10638,8544,,HNBC,41285010
10639,22210,,,04942910
10640,50,,ACRA,00439610
10641,8455,,HEDTC,42191110
10642,8546,,MGEO,62633020
10643,8547,,PAINE,69562410
10644,8548,,TGX,88337510
10645,8549,LAKE,LAKE,51179510
10646,8550,,DRNK,12684410
10647,22211,,,05233910
10648,22212,,,00440510
10649,8551,PTSI,PTSI,69314910
10650,8552,,AABC,00431F10
10651,8555,,BLVD,10157210
10652,8556,,VITC,92624D10
10653,8557,,,91410110
10654,8558,,MIDC,59564710
10655,22213,,,05299190
10656,37,,ACET,00444610
10657,8561,,AD,00758510
10658,8562,,,55068730
10659,8563,,BRLI,09057G60
10660,8564,,STON,23959510
10661,8565,CYAN,CYAN,23243730
10662,8566,,,38123610
10663,22214,,,05299390
10664,47,,ACMT,00461610
10665,8568,,MFED,57763810
10666,8569,,ENVSE,29409610
10667,8570,,FSYS,35952W10
10668,8572,,HNTR,34659C10
10669,8571,,KYMDA,49135910
10670,8573,,QUIN,74857710
10671,22215,,,05899090
10672,46,,ACME,00467110
10673,8574,,BSBK,08817810
10674,8575,,IPUR,45792710
10675,8577,,PULS,74586010
10676,8578,,EROQ,29394110
10677,9740,,CEFR,14983110
10678,8581,,JBIEQ,09001810
10679,8584,,BBDRQ,08651210
10680,8585,,DWYR,26745510
10681,8586,,STHF,85453510
10682,8587,,UBMT,90991910
10683,8588,,SFFD,78413210
10684,8589,,DVRFS,26040910
10685,8590,,DRMD,26635410
10686,8582,,VRSI,92764330
10687,8591,,SAIIC,78662510
10688,8559,,UICO,90462510
10689,8592,,LBUR,53161710
10690,8593,,FFTN,31583410
10691,8594,,ASCL,04362P20
10692,8595,,CHTC,16942510
10693,8596,EHC,EHC,29261A10
10694,8343,,HAMG,40738310
10695,8597,,ABVEE,00373810
10696,8598,FISV,FISV,33773810
10697,8599,,PEBW,70979010
10698,22216,,,06714910
10699,5193,,ACRQE,00489810
10700,22217,,,06899090
10701,6060,,MGNC,58445V20
10702,8601,,,78402710
10703,7962,,CARE,45892710
10704,8602,,CHIK,38115110
10705,8603,,,44928710
10706,8605,,TPOA,89416710
10707,8604,,PSIX,71400310
10708,8606,,TAYSQ,87686710
10709,8607,,MANA,56204810
10710,8608,,GNBC,37836110
10711,8609,,MUTU,62825310
10712,8610,,KNMC,49985910
10713,8611,,LTEK,53217720
10714,8612,,CSCI,22889K20
10715,8614,,GBAN,36758010
10716,8613,,,22025610
10717,8617,,FGAS,35075320
10718,9752,,CCOR,15186710
10719,22218,,,06899190
10720,6611,,ACTM,00504910
10721,8620,,ARMR,04225610
10722,8621,,HNIS,42720710
10723,8622,,MIHO,55305210
10724,8623,,,72367210
10725,9662,,CF,16090310
10726,9710,,CBLI,16514610
10727,22219,,,07323910
10728,53,,,00508610
10729,8626,,PAGRC,74311010
10730,8627,,TDAY,88889P10
10731,8628,,,23808510
